phone,axes,first_with,with_without,first_without
ʊ,Complex - Simple,++1.0,++0.1131,++1.0
ʊ,Cowardly - Brave,++1.0,++0.1906,++1.0
ʊ,Dangerous - Secure,++1.0,1.363e-13,++1.0
ʊ,Dark - Luminous,++1.0,++0.02976,++1.0
ʊ,Difficult - Easy,++1.0,1.211e-11,++1.0
ʊ,Evil - Benign,++1.0,1.907e-05,++1.0
ʊ,Faded - Bright,++1.0,9.167e-06,++1.0
ʊ,Feeble - Strong,++1.0,2.73e-05,++1.0
ʊ,Masculine - Feminine,++1.0,++0.02161,++1.0
ʊ,Passive - Active,++1.0,0.000201,++1.0
ʊ,Quiet - Loud,++1.0,++0.09272,++1.0
ʊ,Rough - Tender,++1.0,2.444e-06,++1.0
ʊ,Sad - Joyful,++1.0,++0.05,++1.0
ʊ,Short - Long,++1.0,7.216e-17,++1.0
ʊ,Slow - Quick,++1.0,1.698e-13,++1.0
ʊ,Small - Big,++1.0,++0.03519,++1.0
ʊ,Smooth - Rough_or_not_smooth,++1.0,2.14e-05,++1.0
ʊ,Ugly - Beautiful,++1.0,++0.0203,++1.0
ɑ,Angular - Round,++0.4184,++0.003146,++0.1118
ɑ,Bad - Good,++0.146,1.958e-07,++0.00202
ɑ,Cold - Hot,++0.1365,++0.2353,++0.1795
ɑ,Complex - Simple,++0.0329,++0.4297,++0.03002
ɑ,Cowardly - Brave,0.0002615,2.2e-08,1.585e-07
ɑ,Dangerous - Secure,++0.005309,1.373e-09,3.365e-06
ɑ,Dark - Luminous,0.0001516,++0.288,3.998e-05
ɑ,Difficult - Easy,++0.2132,0.000348,++0.3567
ɑ,Evil - Benign,++0.2141,4.284e-06,++0.009268
ɑ,Faded - Bright,++0.02601,6.883e-06,++0.2799
ɑ,Feeble - Strong,++0.4981,1.18e-09,++0.02273
ɑ,Masculine - Feminine,++0.3101,++0.2474,++0.3845
ɑ,Passive - Active,++0.07366,++0.07952,++0.02056
ɑ,Quiet - Loud,++0.003063,++0.1691,0.0007856
ɑ,Rough - Tender,++0.4557,++0.2251,++0.3419
ɑ,Sad - Joyful,++0.01214,++0.02068,++0.05719
ɑ,Short - Long,++0.0446,7.72e-08,0.0003646
ɑ,Slow - Quick,++0.07791,4.261e-08,++0.346
ɑ,Small - Big,++0.2231,++0.001455,++0.4341
