phone,axes,first_with,with_without,first_without
d,Cold - Hot,++0.4885,++0.02065,++0.1352
d,Complex - Simple,++0.2676,0.000476,++0.1071
d,Cowardly - Brave,++0.2478,2.15e-05,++0.05834
d,Dangerous - Secure,++0.422,++0.002887,++0.08346
d,Dark - Luminous,++0.166,++0.334,++0.09373
d,Difficult - Easy,++0.2833,0.0002403,++0.07312
d,Evil - Benign,++0.3995,++0.003376,++0.03386
d,Faded - Bright,++0.05109,++0.4754,++0.04449
d,Feeble - Strong,++0.4326,++0.0977,++0.1757
d,Masculine - Feminine,++0.3978,++0.002447,++0.02152
d,Passive - Active,++0.3206,++0.001228,++0.1239
d,Quiet - Loud,++0.386,++0.4025,++0.4451
d,Rough - Tender,++0.3186,++0.2064,++0.1582
d,Sad - Joyful,++0.08663,2.687e-06,1.413e-05
d,Short - Long,++0.375,4.489e-05,++0.004097
d,Slow - Quick,++0.02782,6.903e-07,++0.2605
d,Small - Big,++0.4013,2.557e-06,++0.002986
d,Smooth - Rough_or_not_smooth,++0.3438,++0.07578,++0.09738
d,Ugly - Beautiful,++0.271,++0.3659,++0.3185
k,Angular - Round,++0.001063,++0.3208,2.289e-05
k,Bad - Good,++0.01329,4.992e-12,++0.002948
k,Cold - Hot,7.59e-05,5.241e-10,++0.473
k,Complex - Simple,++0.3355,1.297e-05,++0.002707
k,Cowardly - Brave,++0.03867,++0.1412,++0.001498
k,Dangerous - Secure,++0.1459,1.166e-09,0.0003761
k,Dark - Luminous,++0.1723,3.389e-08,0.0005942
k,Difficult - Easy,++0.1006,2.516e-06,++0.02805
k,Evil - Benign,0.0004372,2.881e-10,++0.1546
k,Faded - Bright,++0.07804,6.863e-07,++0.01393
k,Feeble - Strong,++0.003275,0.0007238,++0.2694
k,Masculine - Feminine,++0.09145,++0.1578,++0.0102
k,Passive - Active,++0.2771,++0.006474,++0.005597
k,Quiet - Loud,++0.2328,6.596e-05,5.38e-05
k,Rough - Tender,++0.1851,++0.325,++0.08391
k,Sad - Joyful,++0.1862,++0.001583,0.0004491
k,Short - Long,++0.05616,++0.1751,++0.1224
k,Slow - Quick,++0.005849,++0.01347,++0.08125
k,Small - Big,++0.03036,1.682e-05,3.466e-08
k,Smooth - Rough_or_not_smooth,++0.2421,0.000566,++0.06016
k,Ugly - Beautiful,++0.03974,++0.378,++0.03842
ɡ,Angular - Round,++0.004147,++0.007126,++0.05374
ɡ,Bad - Good,++0.1724,++0.07222,++0.01854
ɡ,Cold - Hot,++0.02,++0.002079,++0.2981
ɡ,Complex - Simple,++0.1432,++0.08963,++0.335
ɡ,Cowardly - Brave,++0.2171,++0.1235,++0.4971
ɡ,Dangerous - Secure,++0.02407,++0.4352,++0.008701
ɡ,Dark - Luminous,++0.007848,++0.01254,1.341e-05
ɡ,Difficult - Easy,++0.02548,++0.005054,++0.2665
ɡ,Evil - Benign,++0.2918,++0.125,++0.0842
ɡ,Faded - Bright,++0.3356,++0.02085,++0.02319
ɡ,Feeble - Strong,0.0009503,++0.192,0.0003908
ɡ,Masculine - Feminine,2.13e-05,++0.03436,8.133e-05
ɡ,Passive - Active,++0.1669,++0.1201,++0.02119
ɡ,Quiet - Loud,++0.184,++0.3309,++0.2157
ɡ,Rough - Tender,++0.2347,++0.02356,++0.01803
ɡ,Sad - Joyful,++0.2,++0.006853,++0.003399
ɡ,Short - Long,++0.02438,++0.06393,++0.08634
ɡ,Slow - Quick,++0.01864,++0.00119,++0.3295
ɡ,Small - Big,9.455e-07,8.769e-05,++0.001218
ɡ,Smooth - Rough_or_not_smooth,++0.1998,++0.001301,++0.1331
ɡ,Ugly - Beautiful,++0.01338,++0.06496,++0.05056
t͡ʃ,Angular - Round,++1.0,++1.0,++1.0
t͡ʃ,Bad - Good,++1.0,++1.0,++1.0
t͡ʃ,Cold - Hot,++1.0,++1.0,++1.0
t͡ʃ,Complex - Simple,++1.0,++1.0,++1.0
t͡ʃ,Cowardly - Brave,++1.0,++1.0,++1.0
t͡ʃ,Dangerous - Secure,++1.0,++1.0,++1.0
t͡ʃ,Dark - Luminous,++1.0,++1.0,++1.0
t͡ʃ,Difficult - Easy,++1.0,++1.0,++1.0
t͡ʃ,Evil - Benign,++1.0,++1.0,++1.0
t͡ʃ,Faded - Bright,++1.0,++1.0,++1.0
t͡ʃ,Feeble - Strong,++1.0,++1.0,++1.0
t͡ʃ,Masculine - Feminine,++1.0,++1.0,++1.0
t͡ʃ,Passive - Active,++1.0,++1.0,++1.0
t͡ʃ,Quiet - Loud,++1.0,++1.0,++1.0
t͡ʃ,Rough - Tender,++1.0,++1.0,++1.0
t͡ʃ,Sad - Joyful,++1.0,++1.0,++1.0
t͡ʃ,Short - Long,++1.0,++1.0,++1.0
t͡ʃ,Slow - Quick,++1.0,++1.0,++1.0
t͡ʃ,Small - Big,++1.0,++1.0,++1.0
t͡ʃ,Smooth - Rough_or_not_smooth,++1.0,++1.0,++1.0
t͡ʃ,Ugly - Beautiful,++1.0,++1.0,++1.0
d͡ʒ,Angular - Round,++1.0,++1.0,++1.0
d͡ʒ,Bad - Good,++1.0,++1.0,++1.0
d͡ʒ,Cold - Hot,++1.0,++1.0,++1.0
d͡ʒ,Complex - Simple,++1.0,++1.0,++1.0
d͡ʒ,Cowardly - Brave,++1.0,++1.0,++1.0
d͡ʒ,Dangerous - Secure,++1.0,++1.0,++1.0
d͡ʒ,Dark - Luminous,++1.0,++1.0,++1.0
d͡ʒ,Difficult - Easy,++1.0,++1.0,++1.0
d͡ʒ,Evil - Benign,++1.0,++1.0,++1.0
d͡ʒ,Faded - Bright,++1.0,++1.0,++1.0
d͡ʒ,Feeble - Strong,++1.0,++1.0,++1.0
d͡ʒ,Masculine - Feminine,++1.0,++1.0,++1.0
d͡ʒ,Passive - Active,++1.0,++1.0,++1.0
d͡ʒ,Quiet - Loud,++1.0,++1.0,++1.0
d͡ʒ,Rough - Tender,++1.0,++1.0,++1.0
d͡ʒ,Sad - Joyful,++1.0,++1.0,++1.0
d͡ʒ,Short - Long,++1.0,++1.0,++1.0
d͡ʒ,Slow - Quick,++1.0,++1.0,++1.0
d͡ʒ,Small - Big,++1.0,++1.0,++1.0
d͡ʒ,Smooth - Rough_or_not_smooth,++1.0,++1.0,++1.0
d͡ʒ,Ugly - Beautiful,++1.0,++1.0,++1.0
f,Angular - Round,++0.248,++0.362,++0.3073
f,Bad - Good,++0.3532,++0.2248,++0.4622
f,Cold - Hot,++0.4626,++0.3251,++0.4681
f,Complex - Simple,++0.2472,++0.482,++0.2117
f,Cowardly - Brave,++0.2143,++0.4175,++0.2558
f,Dangerous - Secure,++0.02176,++0.1315,++0.04507
f,Dark - Luminous,++0.03964,++0.312,++0.006198
f,Difficult - Easy,++0.1436,++0.4533,++0.1251
f,Evil - Benign,++0.3994,++0.3487,++0.4786
f,Faded - Bright,++0.293,++0.3395,++0.1613
f,Feeble - Strong,++0.02143,++0.4533,++0.007558
f,Masculine - Feminine,++0.02826,++0.3238,++0.01899
f,Passive - Active,++0.3067,++0.4036,++0.3055
f,Quiet - Loud,++0.4473,++0.3117,++0.3951
f,Rough - Tender,++0.4939,++0.3746,++0.41
f,Sad - Joyful,++0.08727,++0.4415,++0.06727
f,Short - Long,++0.3155,++0.2653,++0.1749
f,Slow - Quick,++0.03703,++0.03868,++0.1561
f,Small - Big,++0.003108,++0.02258,++0.03091
f,Smooth - Rough_or_not_smooth,++0.004184,++0.09452,++0.01691
f,Ugly - Beautiful,++0.4651,++0.1993,++0.2193
v,Angular - Round,++1.0,++0.005277,++1.0
v,Bad - Good,++1.0,++0.2688,++1.0
v,Cold - Hot,++1.0,++0.06439,++1.0
v,Complex - Simple,++1.0,++0.01392,++1.0
v,Cowardly - Brave,++1.0,++0.4924,++1.0
v,Dangerous - Secure,++1.0,++0.1521,++1.0
v,Dark - Luminous,++1.0,++0.4143,++1.0
v,Difficult - Easy,++1.0,++0.004943,++1.0
v,Evil - Benign,++1.0,0.0002115,++1.0
v,Faded - Bright,++1.0,++0.06868,++1.0
v,Feeble - Strong,++1.0,++0.03114,++1.0
v,Masculine - Feminine,++1.0,++0.2462,++1.0
v,Passive - Active,++1.0,++0.1019,++1.0
v,Quiet - Loud,++1.0,++0.1015,++1.0
v,Rough - Tender,++1.0,++0.4704,++1.0
v,Sad - Joyful,++1.0,++0.4501,++1.0
v,Short - Long,++1.0,0.0009607,++1.0
v,Slow - Quick,++1.0,++0.1957,++1.0
v,Small - Big,++1.0,++0.001435,++1.0
v,Smooth - Rough_or_not_smooth,++1.0,++0.07817,++1.0
v,Ugly - Beautiful,++1.0,0.0007502,++1.0
s,Angular - Round,++0.001544,3.487e-06,++0.352
s,Bad - Good,++0.1328,++0.1068,++0.3356
s,Cold - Hot,++0.006553,4.451e-05,++0.3741
s,Complex - Simple,++0.073,++0.3147,++0.02774
s,Cowardly - Brave,++0.3495,++0.003081,++0.01329
s,Dangerous - Secure,++0.01937,++0.05175,++0.09524
s,Dark - Luminous,++0.4051,++0.3167,++0.2753
